age,gender,event_date,event_state
22,female,31/08/2016,NY
,male,31/08/2016,ND
,male,31/08/2016,TX
64,female,01/09/2016,MA
,,,TX
,,,WI
,,,TX
53,male,01/09/2016,ME
62,male,01/09/2016,IA
,,01/09/2016,FL
56,male,01/09/2016,NH
57,male,01/09/2016,CA
,,31/08/2016,TX
,,,NY
64,male,,NY
50,male,02/09/2016,TX
63,male,02/09/2016,TX
37,male,06/04/2017,MA
,,,FL
,,,TX
,male,03/09/2016,CA
,,25/08/2016,SC
,,,MA
42,male,03/09/2016,MA
,,,WA
,,31/08/2016,NC
,,,CO
,,,MI
,,,TX
,,,TX
,,,CO
,,,AL
29,male,06/09/2016,GA
,,06/09/2016,MI
,male,06/09/2016,GA
,,06/09/2016,TX
,,,GA
,,,NJ
,,,FL
,male,07/09/2016,OK
61,male,06/04/2017,MA
52,male,,MA
20,male,,MA
,,,ID
,,,NE
,,,KY
,,,CA
,,,KY
,,08/09/2016,CA
,,08/09/2016,CA
,male,08/09/2016,WI
,,,TX
25,male,14/09/2016,SC
33,male,09/09/2016,KY
,,09/09/2016,MD
,male,03/09/2016,TX
39,male,10/09/2016,MA
33,male,09/09/2016,OK
,,10/09/2016,MI
57,male,01/09/2016,CA
,,,IN
,,,CA
,,,WA
,,,TX
22,male,12/09/2016,TX
,male,12/09/2016,GA
,,12/09/2016,CO
,,12/09/2016,SC
,,12/09/2016,WA
,,12/09/2016,ID
,,07/09/2016,FL
,,,NY
,,,TX
,,,VT
,,,TX
,male,13/09/2016,SD
,,13/09/2016,VT
,,13/09/2016,TX
,,13/09/2016,TX
26,male,,NY
36,male,14/09/2016,WY
36,male,14/09/2016,WY
,,,WY
,,,TX
,,,TX
,,14/09/2016,MI
,male,14/09/2016,MT
,,,MI
,,,TX
52,male,15/09/2016,NY
37,male,15/09/2016,MI
,male,15/09/2016,MS
,male,15/09/2016,FL
52,male,13/09/2016,NY
67,male,10/09/2016,MA
,,,OH
,,,IL
,,16/09/2016,SC
,male,16/09/2016,NM
,,16/09/2016,OK
,,,CA
,male,17/09/2016,FL
56,male,08/09/2016,NY
,,,OK
,,,MI
,,,NY
,,,GA
,,,NJ
,,,NJ
,,,OH
,,20/09/2016,WY
,,,CA
,,,MI
,,,VA
48,male,21/09/2016,VA
,male,21/09/2016,IL
,male,21/09/2016,NY
,,,GA
,,22/09/2016,GA
,male,22/09/2016,AL
,male,22/09/2016,IA
32,male,19/09/2016,NY
51,male,,NY
,,,LA
,,,WA
,,,TX
,,,IL
,,,LA
54,male,23/09/2016,IL
,,23/09/2016,NJ
,,23/09/2016,SC
,male,23/09/2016,PA
,,13/09/2016,SD
,,,NH
,,24/09/2016,
,male,24/09/2016,TX
,male,24/09/2016,AR
48,male,24/09/2016,MI
89,male,,NY
46,male,25/09/2016,TX
,,,CA
,,,IA
,,,LA
,,,TX
,,26/09/2016,OH
,male,26/09/2016,GA
,male,26/09/2016,GA
,,26/09/2016,TN
,,,WA
72,male,,MA
68,male,26/09/2016,MA
,male,28/09/2016,CA
,,,WA
27,male,29/09/2016,NY
50,male,29/09/2016,MA
27,male,29/09/2016,NY
54,male,30/09/2016,MI
46,male,30/09/2016,CA
30,male,30/09/2016,IN
,,,LA
24,male,30/09/2016,AK
41,male,30/09/2016,UT
58,male,28/10/2016,NY
,,01/10/2016,TN
20,male,,MA
37,male,03/10/2016,PA
27,male,03/10/2016,CA
46,male,03/10/2016,IA
,,03/10/2016,TX
,,03/10/2016,AZ
,,03/10/2016,TX
,,03/10/2016,TX
71,male,03/10/2016,TX
54,male,,TX
,,04/10/2016,CA
,,04/10/2016,AR
,male,05/10/2016,VA
49,female,05/10/2016,LA
,,05/10/2016,FL
,,05/10/2016,CA
,,05/10/2016,IA
,,05/10/2016,TX
28,male,05/10/2016,TN
23,male,06/10/2016,OK
23,male,06/10/2016,OK
,,06/10/2016,CT
,,07/10/2016,MN
20,male,07/10/2016,UT
,,08/10/2016,TX
,,08/10/2016,MT
,,08/10/2016,PA
,,08/10/2016,MN
,,03/10/2016,NY
47,male,10/10/2016,FL
40,female,10/10/2016,FL
,,11/10/2016,GA
,,11/10/2016,NY
,,11/10/2016,MD
43,male,11/10/2016,NY
,,12/10/2016,UT
,,12/10/2016,WV
35,male,12/10/2016,IN
,,13/10/2016,NY
,,14/10/2016,FL
,,14/10/2016,NJ
,,15/10/2016,NJ
,,16/10/2016,TX
61,male,,MA
,,17/10/2016,NC
28,male,17/10/2016,MO
,,18/10/2016,CA
45,male,18/10/2016,NY
,,18/10/2016,WI
48,male,18/10/2016,FL
32,male,19/10/2016,FL
,,19/10/2016,FL
,,19/10/2016,PA
,,20/10/2016,AR
55,male,21/10/2016,TX
53,male,21/10/2016,MA
25,,21/10/2016,CA
47,male,21/10/2016,MA
27,male,21/10/2016,CA
52,male,,TX
62,male,22/10/2016,MI
,,24/10/2016,MA
53,male,24/10/2016,GA
32,male,24/10/2016,FL
66,male,24/10/2016,MA
52,male,,TX
,,25/10/2016,PA
,,19/10/2015,RI
,,26/10/2016,SC
,,26/10/2016,NC
,,21/10/2016,MI
31,male,26/10/2016,NJ
31,male,26/10/2016,NY
30,male,25/10/2016,CO
56,male,24/10/2016,NE
,,21/10/2015,NV
,,28/10/2016,NJ
,,29/10/2016,NC
,,28/10/2016,NC
,,31/10/2016,FL
37,male,31/10/2016,MA
48,male,31/10/2016,AL
37,male,01/11/2016,MA
,,01/11/2016,TN
59,male,01/11/2016,ID
,,02/11/2016,FL
,,02/11/2016,GA
,,03/11/2016,FL
,,03/11/2016,NC
53,male,03/11/2016,NY
35,male,,MA
,,04/11/2016,MN
,,04/11/2016,CA
,,04/11/2016,MI
41,male,04/11/2016,NY
