age,gender,event_date,event_state
30,male,2018/05/22,NC
36,male,2018/06/27,OK
53,male,2018/05/23,VA
63,male,2018/06/27,NY
46,male,2018/06/27,FL
47,male,2018/05/23,WI
38,male,2018/06/28,NY
62,male,2018/06/28,NY
21,male,2018/05/23,MS
43,male,2018/06/27,ID
61,male,2018/05/22,SD
52,male,2018/05/21,AZ
,,2018/04/25,AL
56,male,2018/05/24,LA
21,male,2018/05/24,MD
72,male,2018/04/17,
24,male,2018/05/24,NC
69,male,2018/04/19,FL
37,male,2018/05/25,GA
27,male,2018/05/26,NY
67,male,2018/05/26,NY
67,male,2018/05/25,NC
65,male,2018/05/23,ID
44,male,2018/04/19,OH
26,male,2018/04/20,MT
59,male,2018/05/14,AK
,,2018/04/20,FL
45,male,2018/05/15,TX
,male,2018/04/20,FL
76,male,2018/05/15,PA
,male,2018/04/22,NJ
61,male,2018/05/17,MS
48,male,2018/05/07,MA
56,male,2018/04/19,MT
53,male,2018/05/15,MN
29,male,2018/04/22,TN
21,male,2018/05/17,TN
51,male,2018/05/17,MN
51,male,2018/06/01,WV
38,male,2018/04/09,UT
25,male,2018/04/09,NC
42,male,2018/05/29,MI
,male,2018/04/10,CA
43,male,2018/04/09,AZ
39,male,2018/04/10,NY
59,male,,TX
45,male,2018/04/13,GA
60,male,2018/04/12,TX
32,male,2018/04/13,MA
29,female,2018/05/21,MD
,male,2018/04/12,NY
30,male,2018/04/13,PA
66,female,2018/05/17,FL
61,male,2018/04/14,NE
43,male,2018/04/14,LA
48,male,2018/05/17,TN
28,male,2018/04/16,CT
,male,2018/05/21,IN
25,male,2018/04/17,PA
46,male,2018/05/28,IL
,male,2018/05/21,CA
60,,2018/04/16,NE
45,male,2018/05/29,TN
60,male,2018/05/10,WI
35,,2018/04/03,TX
63,male,2018/05/22,WA
36,male,2018/05/21,CA
25,,2018/04/03,TX
29,male,2018/04/03,WI
29,male,2018/04/02,CA
27,male,2018/05/08,LA
57,male,2018/04/04,NY
,male,2018/05/07,TN
36,female,2018/04/04,MS
56,male,2018/04/04,MA
65,male,2018/05/09,PA
25,male,2018/04/05,CO
25,male,2018/04/05,CO
32,male,2018/05/29,PA
31,,2018/04/06,SC
33,male,2018/05/08,PA
61,,2018/04/07,NY
36,,2018/04/07,TX
56,male,2018/05/08,OH
26,male,2018/04/24,AL
42,male,2018/05/08,IL
,,2018/03/13,AL
36,male,2018/05/09,GA
38,,2018/03/12,TN
,,2018/03/13,KS
,male,2018/05/10,CO
,male,2018/05/10,CO
59,,2018/03/14,TN
47,,2018/03/16,VA
48,male,2018/05/09,FL
43,male,2018/05/09,FL
,,2018/03/20,WA
37,,2018/03/18,FL
57,male,2018/05/07,IA
,,2018/03/17,FL
,male,2018/05/11,WV
,,2018/03/20,CA
40,,2018/03/20,CO
47,male,2018/05/11,OK
45,,2018/03/20,NY
,male,2018/05/10,TN
23,,2018/03/20,NY
18,,2018/03/20,KS
32,,2018/03/20,NC
43,,2018/03/23,PA
37,male,2018/04/30,AR
53,,2018/03/22,RI
49,male,2018/04/26,AR
,,2018/03/22,MI
57,,2018/03/21,OR
24,male,2018/04/30,PA
23,male,2018/04/30,PA
,,2018/03/20,OH
68,,2018/03/25,TX
36,male,2018/04/30,PA
48,,2018/03/21,IL
,,2018/03/28,TX
59,,2018/03/20,GA
27,male,2018/04/30,PA
38,female,2018/03/26,VA
49,male,2018/04/30,MS
47,male,2018/05/01,NJ
53,,2018/03/25,NV
35,male,2018/05/01,LA
61,,2018/03/22,NY
60,,2018/03/25,NY
60,,2018/03/25,NY
64,,2018/03/26,UT
72,male,2018/05/01,FL
,,2018/03/09,CA
45,,2018/03/29,SC
42,male,2018/05/01,MA
41,,2018/03/15,MA
34,male,2018/05/01,CA
24,,2018/03/21,NC
40,,2018/03/22,IN
42,,2018/03/29,SD
49,female,2018/05/01,SC
37,,2018/03/28,NY
33,male,2018/05/01,UT
,,2018/03/25,AL
52,male,2018/04/28,OK
38,,2018/03/29,
,male,2018/05/01,NC
57,female,2018/05/04,WI
,,2018/03/30,CT
64,,2018/03/24,TX
52,male,2018/05/02,HI
64,,2018/03/31,NY
54,male,2003/10/31,NV
39,,2018/03/27,WI
45,male,2018/05/04,IN
,,2018/03/30,NV
50,,2018/03/21,PA
29,,2018/03/21,PA
30,,2018/03/31,TX
43,male,2018/05/01,FL
43,male,2018/05/05,NC
28,male,2018/03/06,WA
51,male,2018/01/17,LA
61,male,2018/01/09,MI
53,female,2018/01/30,WI
54,male,2018/02/10,OH
39,male,2018/02/10,OH
26,male,2018/02/09,GA
23,male,2018/02/06,OK
52,male,1994/12/10,CA
34,male,2018/02/05,CO
52,male,2018/01/01,KY
60,male,2018/09/17,VA
18,male,2018/09/15,AZ
,male,2018/09/15,AZ
43,male,2018/09/15,AZ
28,male,2018/09/12,CA
26,male,2018/09/17,IN
45,male,2018/09/18,SD
,male,2018/09/18,CA
,male,2018/09/18,WI
27,male,2018/09/18,CA
58,male,2018/09/18,LA
,,2018/07/02,OK
,,2018/07/02,TN
42,male,2018/07/02,ID
41,male,2018/07/02,OH
,male,2018/04/27,CA
26,male,2019/09/24,WA
60,male,2018/09/23,MI
62,male,2018/09/23,MI
58,male,2018/09/21,OH
26,male,2018/09/25,AL
61,male,2018/09/23,CA
,male,2018/09/26,OR
,,2018/09/25,FL
45,male,2018/09/26,IA
,male,2018/09/24,SC
31,male,2018/09/25,WA
42,male,2018/09/26,FL
49,female,2018/09/26,NY
69,male,2018/09/26,TN
36,male,2018/09/24,TX
20,male,2018/09/26,VA
32,male,2018/09/27,FL
28,male,2018/09/25,OK
20,male,2018/09/25,MI
26,male,2018/09/26,MO
26,male,2018/09/28,NE
28,male,2018/09/28,CO
,male,2018/09/10,CO
,,2018/09/28,IN
,,2018/09/27,NC
,,2018/09/28,FL
43,male,2018/09/28,IA
43,male,2018/09/19,GA
27,male,2018/09/18,MI
27,male,2018/09/18,MI
31,male,2018/09/18,OH
56,male,2018/09/28,WY
42,male,2018/09/28,WY
31,male,2018/09/29,MS
68,,2018/10/22,OH
79,male,2018/10/22,MN
